event_index,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_data_hex,event_output_time_ns,event_valid,event_ready,event_fire
0,0,0,0x00001adc,0,0,0x000000000000000000000000000000000000000000000000023fd803e027014febfd406700c015029030fe5023049fe9,1298,1,1,1
0,0,0,0x00001adc,1,0,0x000000000000000000000000000000000000000000000000f9402300bfccfe1ff7096f95fce00c032fbdf96ff5043fca,1302,1,1,1
0,0,0,0x00001adc,2,0,0x000000000000000000000000000000000000000000000000ffffc305803e00e02cfc9ff100a026048fd4faa092feb049,1306,1,1,1
0,0,0,0x00001adc,3,0,0x000000000000000000000000000000000000000000000000fb1078017fbc066fc8fbd045ff4039028f81fb502303af9c,1310,1,1,1
0,0,0,0x00001adc,4,0,0x00000000000000000000000000000000000000000000000007d00aff6fde03a04cfb2fd4fb7033003feffe5ff0017046,1314,1,1,1
0,0,0,0x00001adc,5,0,0x000000000000000000000000000000000000000000000000f9f06efb9fa6053fcefbcff300903101cfe9017fcd041fda,1318,1,1,1
0,0,0,0x00001adc,6,0,0x000000000000000000000000000000000000000000000000fb801f04c00ffedfdb029ffeff800b01bfb5016f7a031016,1322,1,1,1
0,0,0,0x00001adc,7,0,0x00000000000000000000000000000000000000000000000000afb506bfbf024080fc6fef01afbffc703ffe2fdb00305b,1326,1,1,1
0,0,0,0x00001adc,8,0,0x000000000000000000000000000000000000000000000000018fd6ffb03704503efaffae059f5100906cf9c06ffd600c,1330,1,1,1
0,0,0,0x00001adc,9,0,0x000000000000000000000000000000000000000000000000ff1021fc900f00ffd9f9402700e026fa0042051f85019044,1334,1,1,1
0,0,0,0x00001adc,10,0,0x000000000000000000000000000000000000000000000000005ff7036ff803a018fad066fb400dfdd014060001fbc018,1338,1,1,1
0,0,0,0x00001adc,11,0,0x000000000000000000000000000000000000000000000000017fe6041faa01e00efbbfe2f8eff304c03cff804bfb8fd7,1342,1,1,1
0,0,0,0x00001adc,12,0,0x000000000000000000000000000000000000000000000000fe5fdbff5015fbdfff026004011050ff001a030ff4ff1fe5,1346,1,1,1
0,0,0,0x00001adc,13,0,0x000000000000000000000000000000000000000000000000037fc9fcc074fe7fe8099fbafddfd2fda001024029f6605b,1350,1,1,1
0,0,0,0x00001adc,14,0,0x000000000000000000000000000000000000000000000000025029fdaff4f9406e003fd5f7000d06c01ff6a05f04bfa7,1354,1,1,1
0,0,0,0x00001adc,15,0,0x000000000000000000000000000000000000000000000000fefffd013fc0f6906a012001105f5600205505b01bffd00b,1358,1,1,1
0,0,0,0x00001adc,16,0,0x000000000000000000000000000000000000000000000000040fbf016029f5801505c00f08804cefbffbfeb035f7bfea,1362,1,1,1
0,0,0,0x00001adc,17,0,0x000000000000000000000000000000000000000000000000f8115af7dfb7fdcfe50ae00e00df58fb7049017f7d055034,1366,1,1,1
0,0,0,0x00001adc,18,0,0x000000000000000000000000000000000000000000000000fa00b40a8f1c03c050ff0fa700603402e04ffbe00cff3015,1370,1,1,1
0,0,0,0x00001adc,19,0,0x0000000000000000000000000000000000000000000000000470b6ff7f20ff602bf7601001407cfaef8701afdaff6065,1374,1,1,1
0,0,0,0x00001adc,20,0,0x000000000000000000000000000000000000000000000000050fcaf45028012f9f04501f016f5c026001fa501101bfcc,1378,1,1,1
0,0,0,0x00001adc,21,0,0x000000000000000000000000000000000000000000000000f99fd909afe001c014fd6017fd4ff9fb60b7024f74ff909c,1382,1,1,1
0,0,0,0x00001adc,22,0,0x000000000000000000000000000000000000000000000000fc202d02bffcfe6fbe034fe3fda04505bfaffdffd304701e,1386,1,1,1
0,0,0,0x00001adc,23,0,0x000000000000000000000000000000000000000000000000fb8059036fd1fe1004010046ff100efcfffefed01603efc9,1390,1,1,1
0,0,0,0x00001adc,24,0,0x00000000000000000000000000000000000000000000000000403ef6a03bffe04b064f8dff9fc8fd6061fd3fae004030,1394,1,1,1
0,0,0,0x00001adc,25,0,0x00000000000000000000000000000000000000000000000007bf9202d01efd104601bf78097fe9ff402cfc205dfca066,1398,1,1,1
0,0,0,0x00001adc,26,0,0x000000000000000000000000000000000000000000000000006064fdbfa300ff8a029038011fef008f71fea00efda014,1402,1,1,1
